pID|ProjectName|ProjectTeam|ProjectOwner|ProjectDescription|ProjectCategoryId
37|Financial information|John Petit,Adam Phillips,Karen SIMMONS,Eric Edwards|Craig Riffle|Credit Reporting for Certified Professionals|1
38|Event management|Adam Phillips,Karen SIMMONS,Eric Edwards,Teresa Rodman|Burt Krum|Corporate Event Planning|1
39|Human Resources|Karen SIMMONS,Eric Edwards,Teresa Rodman,Edward Radford|Eda Corrado|Flexible work schedule policy|1
40|Broker Information|Eric Edwards,Teresa Rodman,Edward Radford,JOSEPH Ross|Malisa Gillmore|NYSE Floor Broker Information for Press Release|1
41|Registration |Teresa Rodman,Edward Radford,JOSEPH Ross,William Cottle|Heide Wehmeyer|Registration Fines and Costs|1
42|Communication|Edward Radford,JOSEPH Ross,William Cottle,Israel DiLeo|Lisha Boniello| Secure Gateway training materials|1
43|Financial information|JOSEPH Ross,William Cottle,Israel DiLeo,Ian Cummings|Bryon Steffens|Financial Services Systems |1
44|Financial information|William Cottle,Israel DiLeo,Ian Cummings,Gerald Otto|Jacquie Handy|Investor Education Expense Analyzer|1
45|Registration|Israel DiLeo,Ian Cummings,Gerald Otto,Ruth Mohan|Darby Egnor|Waiver System and policy|1
46|Trade Info|Ian Cummings,Gerald Otto,Ruth Mohan,Clayton SHIPPY|Lise Hyder|Both MPP and OTCBB directly access this resource for market calendar data. |1
47|Billing|Gerald Otto,Ruth Mohan,Clayton SHIPPY,Grant Somogyi|Luvenia Schuetz|Consume transactions from internal applications and pass billing info to WorkDay for invoicing and payment management|1
48|Risk monitoring|Ruth Mohan,Clayton SHIPPY,Grant Somogyi,Marie Kach|Lashandra Hedgecock|Governance, Risk, and Compliance Portal|1
49|Human Resources|Clayton SHIPPY,Grant Somogyi,Marie Kach,Sanjiv Lawson|Salley Valenza|Health Advocate|1
50|Human Resources|Grant Somogyi,Marie Kach,Sanjiv Lawson,Matthew Eddy|Juliane Mcfaul|Employee Engagement Survey|1
51|Human Resources|Marie Kach,Sanjiv Lawson,Matthew Eddy,Hubert Mundigo|Tashina Vieira|Pension Resources|1
52|Human Resources|Sanjiv Lawson,Matthew Eddy,Hubert Mundigo,Gerald Benjamin|Cordelia Cuff|Your Total Rewards|1
53|Human Resources|Matthew Eddy,Hubert Mundigo,Gerald Benjamin,Patrick Carbone|Domenica Licata|HR Electronic Fingerprinting|1
54|IA Information|Hubert Mundigo,Gerald Benjamin,Patrick Carbone,Karen Thompson|Trudi Pettaway|Investment Adviser Public Disclosure|1
55|IA Information|Gerald Benjamin,Patrick Carbone,Karen Thompson,Daniel Page|Margarita Harvey|Investment Adviser Registration Depository|1
56|Broker Information|Patrick Carbone,Karen Thompson,Daniel Page,Robert Ross-Rafii|Nakisha Plewa|INDIVIDUAL PROFILES|1
57|Broker Information|Karen Thompson,Daniel Page,Robert Ross-Rafii,Deborah Baise|Portia Fenton|Registered Rep tracking|1
58|Human Resources|Daniel Page,Robert Ross-Rafii,Deborah Baise,Richard Tortorici|Francesco Searight|Mentoring program|1
59|Contract mangement|Robert Ross-Rafii,Deborah Baise,Richard Tortorici,Paul Callas|Sommer Buchwald|JIRA-Service Desk tool for Contract  Service Management|1
60|Issue tracking|Deborah Baise,Richard Tortorici,Paul Callas,Veronica Christensen|Maisie Keppler|Issue tracking tool - JIRA|1
61|Exhange - RSA|Richard Tortorici,Paul Callas,Veronica Christensen,Mark Tomme|Tyisha Pruden|RSA contracts and reporting|1
62|Financials|Paul Callas,Veronica Christensen,Mark Tomme,Michael BRANNON|Jenni Gregor|reviewing firm financials reporting|1
63|Market analysis|Veronica Christensen,Mark Tomme,Michael BRANNON,Gary Piechowski|Halina Loos|Market algorithm analysis|1
64|Data Analytics|Mark Tomme,Michael BRANNON,Gary Piechowski,John jordan|Karine Jowett|Exchange trading survey results|1
65|Communication|Michael BRANNON,Gary Piechowski,John jordan,HERB Grimm|Janine Whitenack|Annual Priorities letter|1
66|Training|Gary Piechowski,John jordan,HERB Grimm,GEORGE Turner|Sylvia Trimpe|Continuing Education course catalog|1
67|Fraud|John jordan,HERB Grimm,GEORGE Turner,Brant Crichlow|Elsie Schiel|Options Insider Trading Application|1
68|Firms|HERB Grimm,GEORGE Turner,Brant Crichlow,Linda Brillhart|Christena Crossno|Firm grouping analysis|1
69|Trade Info|GEORGE Turner,Brant Crichlow,Linda Brillhart,George Day|Stephane Clausing|Over the Counter Bulletin Board  Quotes|1
70|Trade Info|Brant Crichlow,Linda Brillhart,George Day,J. Janssen|Laura Yeager|OTCBB and Order Reporting Facility Data via COMPANY.org|1
71|Financial information|Linda Brillhart,George Day,J. Janssen,James Steinhaus|Cristopher Westcott|Financial education planning|1
72|Trade Info|George Day,J. Janssen,James Steinhaus,Raymond Alvar|Augusta Hartman|Private Funds Registration Depository|1
73|Human Resources|J. Janssen,James Steinhaus,Raymond Alvar,Joseph Daurio|Miguel Chittenden|Conduct background searches and investigations on arbitrator candidates for the  Office of Dispute Resolution roster of neutrals|1
74|Trade Info|James Steinhaus,Raymond Alvar,Joseph Daurio,Christopher Smith|Robbyn Boykins|PRET - Option, Equities trade modeling|1
75|Trade Info|Raymond Alvar,Joseph Daurio,Christopher Smith,Thomas Coker|Maple Scholz|Exchange trades and fees|1
76|Reporting|Joseph Daurio,Christopher Smith,Thomas Coker,Gerald Rodelli|Lyndsey Palin|Case management reporting by districts|1
77|Training|Christopher Smith,Thomas Coker,Gerald Rodelli,Joseph Love|Beckie Hurston|Prudential mutual fund seminar|1
78|Member management|Thomas Coker,Gerald Rodelli,Joseph Love,Debra Brinkman|Cinda Rother|Financial Information System Billing Engine|1
79|Human Resources|Gerald Rodelli,Joseph Love,Debra Brinkman,roroor DELFIN|Tawanda Longmire|PeopleSoft - Human Resources Information System|1
80|Data Analytics|Joseph Love,Debra Brinkman,roroor DELFIN,D.Flint Maslin|Annamae Ponte|Regulatory Automated Analysis |1
81|Communication|Debra Brinkman,roroor DELFIN,D.Flint Maslin,Michelle Fairbanks|Louis Mcnaught|Registration And Disclosure Gateway|1
82|Registration|roroor DELFIN,D.Flint Maslin,Michelle Fairbanks,Randy Harding|Edwardo Zehr|Registration Review Workspace |1
83|Firm support|D.Flint Maslin,Michelle Fairbanks,Randy Harding,Howard Bdaiwi|Margrett Kivi|This Project track will focus on Integrating RAMP with other partner apps like ESMP, Alfresco, FIP, Fingerprint, Filex and reduce RAMP on-prem footprint.|1
84|Firm support|Michelle Fairbanks,Randy Harding,Howard Bdaiwi,Jason Luzi|Taren Drago|Web Applications is a suite of external apps supporting the firms and individual brokers.|1
85|Business information|Randy Harding,Howard Bdaiwi,Jason Luzi,Constance Daily|Deidra Govan|Reporting and Business Intelligence repository|1
86|Case Management|Howard Bdaiwi,Jason Luzi,Constance Daily,Jeffrey Dixon|Tish Spaulding|Regulatory Case Management|1
87|Human Resources|Jason Luzi,Constance Daily,Jeffrey Dixon,Linda Reque|Ardelle Ketron|COMPANY Wellness Program for weight loss and lifestyle maintenance|1
88|Communication|Constance Daily,Jeffrey Dixon,Linda Reque,Sean Catmull|Reatha Sebree|Reg Gateway|1
89|Fee reporting|Jeffrey Dixon,Linda Reque,Sean Catmull,Franklin WISEMAN|Francoise Melnick|Regulatory Fee Data Warehouse|1
90|Time tracking|Linda Reque,Sean Catmull,Franklin WISEMAN,Brian Wilkinson|Jerold Cardoso|Regulatory Time Tracking|1
91|Regulation|Sean Catmull,Franklin WISEMAN,Brian Wilkinson,Matthew Chinian|Andreas Ketterman|For each relevant distribution, the Rule 105 Matching Tool uses algorithms to match client information from distribution allocation lists against client trading information from Bluesheets in an effort to identify possible violations of SEC Regulation M Rule 105. Market Regulation users can search, filter, sort, verify, edit, export, and/or print the information.|1
92|Training|Franklin WISEMAN,Brian Wilkinson,Matthew Chinian,Sam ostendorf|Cathey Foree|Learning management system content and monitoring|1
93|Communication  |Brian Wilkinson,Matthew Chinian,Sam ostendorf,Jeffrey Brockenbrough|Stepanie Brodsky|SharePoint team sites|1
94|Regulation|Matthew Chinian,Sam ostendorf,Jeffrey Brockenbrough,Lawrence Westen|Annice Flink|Short Interest Application regulations|1
95|Communication  |Sam ostendorf,Jeffrey Brockenbrough,Lawrence Westen,joseph Walker|Virgina Funches|Skype meeting pilot and evaluation|1
96|Mutual  funds|Jeffrey Brockenbrough,Lawrence Westen,joseph Walker,MARK Saxonis|Alyssa Cesar|Annual federal mutual funds conference|1
97|Training|Lawrence Westen,joseph Walker,MARK Saxonis,Marie Papanikolas|Mel Barros|Variable Annuity training sessions|1
98|Product|joseph Walker,MARK Saxonis,Marie Papanikolas,John Verbit|Gregg Kottke|Subordinated Loans|1
99|Risk monitoring|MARK Saxonis,Marie Papanikolas,John Verbit,Christopher Gavin|Ilse Pennock|firm alerts and regulatory response tracking in SURVEILLANCE WORKSPACE|1
100|Trade Info|Marie Papanikolas,John Verbit,Christopher Gavin,Steven Pazzaglia|Judith Angulo|Symbol Info catalog|1
101|Human Resources|John Verbit,Christopher Gavin,Steven Pazzaglia,Frank Antonizio|Jessica| Talent Management Software|1
102|Human Resources|Christopher Gavin,Steven Pazzaglia,Frank Antonizio,Lance Roberts|TIMOTHY|Diversity management seminar|1
103|Trade Information|Steven Pazzaglia,Frank Antonizio,Lance Roberts,Monica Dills|Steven Canedy|Thomson Reuters clearing information portal|1
104|Planning|Frank Antonizio,Lance Roberts,Monica Dills,James Christopher|Gerald SIDOTI|Financial planning tool for actuarial forecasting|1
105|Regulation|Lance Roberts,Monica Dills,James Christopher,Kevin DelPrete|MIKE Cohen|Annual regulation review conference|1
106|Exchange RSA|Monica Dills,James Christopher,Kevin DelPrete,Brent EXUM|Brooks|RSA contract renegotiation schedule|1
107|Financial capability|James Christopher,Kevin DelPrete,Brent EXUM,Erin Hentges|Robert|Fraud identification education seminar|1
108|Training|Kevin DelPrete,Brent EXUM,Erin Hentges,Gale SUNG|Vilen Gordon|Skill building software|1
109|Human Resources|Brent EXUM,Erin Hentges,Gale SUNG,Erik Archibald|David Chamorro|Health Benefit - Continuation of Health Coverage|1
110|Project150|Erin Hentges,Gale SUNG,Erik Archibald,Scott Hernandez|Douglas Martinez|Dispute Resolution Applications|1
111|Economic Rountable|Gale SUNG,Erik Archibald,Scott Hernandez,Donald Coughlin|Tim Saiz|Economic roundtable on the issuance of new rules related to money laundering, cryptocurrencies, crypto, crypto assets, ICOs, and involved data analysis|1
112|EduBIGHATion on Suitability|Erik Archibald,Scott Hernandez,Donald Coughlin,Christina Bailey|WILMARC Vienot|create continuing educATion tools and classes and courses on suitability issues|1
113|Advertising Regulations CE|Scott Hernandez,Donald Coughlin,Christina Bailey,Philip Hirt|John Chevez|created advertising regulation continuing eduBIGHATion tools and classes and courses|1
114|Clearing Firm|Donald Coughlin,Christina Bailey,Philip Hirt,Gregory CIAMBRIELLO|Justin Kapadia|employee group regarding clearing firm best practices and lessons learned|1
115|COMPANY Arbitration Forum|Christina Bailey,Philip Hirt,Gregory CIAMBRIELLO,Linda Noack|Robert Basalik|provided public forum for information on COMPANY arbitrations|1
116|SEC Employees|Philip Hirt,Gregory CIAMBRIELLO,Linda Noack,John FUMERO|Douglas Giarratano|list of former SEC Employees|1
117|Financial|Gregory CIAMBRIELLO,Linda Noack,John FUMERO,Richard Mitchell|Randi Linn|conducted financial analysis of various business segments|1
118|Regulatory Technology Roundtable|Linda Noack,John FUMERO,Richard Mitchell,Elaine Lockowitz|Thomas Bennett|met with SEC in a roundtable on regulatory technology involving stock exchanges|1
119|NYSE|John FUMERO,Richard Mitchell,Elaine Lockowitz,Heather Manganelli|William Powell|list of employees who used to work at NYSE for NYSE expert round table|1
120|Enforcement Attorney Roundtable on Supervision|Richard Mitchell,Elaine Lockowitz,Heather Manganelli,Robert Bohlen|JOSEPH Farrington|conduct roundtable discussion of supervision issues. Enforcemnt attorney project|1
121|Continuing EduBIGHATion Course Development|Elaine Lockowitz,Heather Manganelli,Robert Bohlen,Dominic GILKER|William Beardsley|course development regarding private placement memorandums and private offerings|1
122|New York Stock Exchange NYSE|Heather Manganelli,Robert Bohlen,Dominic GILKER,Timothy DelVecchio|Diane Leisure|NYSE market making project, surveillance, supervision, latency, high speed trading, algorithms|1
123|Economics Project|Robert Bohlen,Dominic GILKER,Timothy DelVecchio,Roma Vanderbilt|Phyllis bailey|economics project involving options pricing|1
124|Legal - Advertising and Corporate Financing Department|Dominic GILKER,Timothy DelVecchio,Roma Vanderbilt,William CLARK|ANTHONY Cordier|conduct roundtable on law, advertising regulation, policy|1
125|Member Supervision|Timothy DelVecchio,Roma Vanderbilt,William CLARK,Blaine Manemanus|FRANCES Clark|surveillance program restructuring expert team|1
126|Fintech|Roma Vanderbilt,William CLARK,Blaine Manemanus,ADAM Langlois|George Hays|FINTECH issues regarding crypto assets and icos|1
127|Market Regulation Rules|William CLARK,Blaine Manemanus,ADAM Langlois,Russell Theoharis|Noelle Eaton|develop new market regulation rules suggestions|1
128|Fixed Income Pricing|Blaine Manemanus,ADAM Langlois,Russell Theoharis,Paul McAfee|JEFFREY chan|industry event participants involved in fixed income pricing discussions|1
129|Commodities Futures|ADAM Langlois,Russell Theoharis,Paul McAfee,Laura Hutzelman|Douglas Voyles|project involving interfacing with commodities futures exchange|1
130|Shared Services|Russell Theoharis,Paul McAfee,Laura Hutzelman,Terry Tobin|Leslie MALONE|shared services project inovlving risk strategy, innovation, litigation and counsel, sec oversight|1
131|Statistical Analysis Project|Paul McAfee,Laura Hutzelman,Terry Tobin,Gordon Remmert|Gregory Madurski|project utilizing statistics to assist market regulation and member supervision|1
132|Mutual Fund Working Group|Laura Hutzelman,Terry Tobin,Gordon Remmert,Christopher Burrington|Katherine Prussman|mutual fund working group.|1
133|Reporting|Terry Tobin,Gordon Remmert,Christopher Burrington,Mark Carroccio|Denise Vander Ark|Electronic Financial and Operational Combined Uniform Single Report|1
134|Security Management|Gordon Remmert,Christopher Burrington,Mark Carroccio,Mark Dikdan|Ronald Harsche|Electronic Fingerprint Processing|1
135|Training|Christopher Burrington,Mark Carroccio,Mark Dikdan,James Fernandes|Linda Zimmerman|Provide training for Examiners|1
136|Vendor Management|Mark Carroccio,Mark Dikdan,James Fernandes,Tracy Fitzgerald|Samuel Weiss|utilize Vendor Management System|1
137|Communication|Mark Dikdan,James Fernandes,Tracy Fitzgerald,monte Toureau|John Petit|update content on Financial Professional Gateway|1
138|Human Resources|James Fernandes,Tracy Fitzgerald,monte Toureau,Penny Herskovics|Adam Phillips|Employee benefits management - dental|1
139|Reporting|Tracy Fitzgerald,monte Toureau,Penny Herskovics,Troy Curtis|Karen SIMMONS|Market Interactive Reporting  Summaries|1
140|Product Repository|monte Toureau,Penny Herskovics,Troy Curtis,REBECCA Wilkers|Eric Edwards|use Multi-Product Platform Repository Front End|1
141|Case Management|Penny Herskovics,Troy Curtis,REBECCA Wilkers,Dana Yi|Teresa Rodman|track and resolve cases on Member Regulation Desktop|1
142|Organization information|Troy Curtis,REBECCA Wilkers,Dana Yi,David Scipione|Edward Radford|maintain content on Member Regulation - Funding Portal|1
143|Trade Info|REBECCA Wilkers,Dana Yi,David Scipione,Scott Smith|JOSEPH Ross|OTCBB quotation submissions|1
144|Trade Info|Dana Yi,David Scipione,Scott Smith,Meighan Pereira|William Cottle|NASDAQ Data Network Peering|1
145|Security Management|David Scipione,Scott Smith,Meighan Pereira,COLIN FRASER|Israel DiLeo| Consumer Access for mortgage info|1
146|Trade Info|Scott Smith,Meighan Pereira,COLIN FRASER,Carole Wheeler|Ian Cummings|trade audit reporting analysis|1
147|Communication|Meighan Pereira,COLIN FRASER,Carole Wheeler,james Huning|Gerald Otto|develop and get approval for Press Releases|1
148|Training|COLIN FRASER,Carole Wheeler,james Huning,Dennis Lile|Ruth Mohan|maintain content in Learning Management System|1
149|Human Resources|Carole Wheeler,james Huning,Dennis Lile,Joseph Maher|Clayton SHIPPY|COMPANY Manual Online|1
150|Price Information|james Huning,Dennis Lile,Joseph Maher,David Sanchez|Grant Somogyi|Directly access to OTCBB database for price information. |1
151|COIC Training|Dennis Lile,Joseph Maher,David Sanchez,Michael Roth|Marie Kach|Conflict of interest training videos|1
152|Seniors|Joseph Maher,David Sanchez,Michael Roth,Paul Kallio|Sanjiv Lawson|manage and promote sneior helpline service|1
153|Training|David Sanchez,Michael Roth,Paul Kallio,Dennis PAUL|Matthew Eddy|Produce and maintain employee training videos|1
154|Communication|Michael Roth,Paul Kallio,Dennis PAUL,Derek Ruffolo|Hubert Mundigo|maintain content on company websites|1
155|Communication|Paul Kallio,Dennis PAUL,Derek Ruffolo,Gregg Gadit|Gerald Benjamin|manage corporate communication including email, podcasts and town halls|1
156|Arbitration|Dennis PAUL,Derek Ruffolo,Gregg Gadit,Keith Moreno|Patrick Carbone|Arbitration Awards Online|2
157|Regulation|Derek Ruffolo,Gregg Gadit,Keith Moreno,Shelly Covino|Karen Thompson|Hosting Office of Dispute Resolution Requirements.|2
158|Regulation|Gregg Gadit,Keith Moreno,Shelly Covino,Mohamed Miller|Daniel Page|Bank Secrecy Act Query|2
159|Contract mangement|Keith Moreno,Shelly Covino,Mohamed Miller,Matthew Turville|Robert Ross-Rafii|Legal contract matter management system|2
160|Research|Shelly Covino,Mohamed Miller,Matthew Turville,Paul Lozada|Deborah Baise|Legal Research Tool and policies|2
161|Foreign Assets|Mohamed Miller,Matthew Turville,Paul Lozada,TODD ushyarov|Richard Tortorici|Office of Foreign Asset Control's Specially Designated Nationals and Blocked Persons List|2
162|Regulation|Matthew Turville,Paul Lozada,TODD ushyarov,Michael Seibt|Paul Callas|The Reg M Workspace stores Reg M notifications submitted by member firms. The system includes an interface that is utilized by Market Regulation users to search, filter, sort, verify, edit, add, and/or print the information received about distributions of securities.|2
163|Regulation|Paul Lozada,TODD ushyarov,Michael Seibt,Mary Levin|Veronica Christensen|Regulatory Filings Application|2
164|Regulation|TODD ushyarov,Michael Seibt,Mary Levin,Jay Johnson|Mark Tomme|SEC 19-D1 formal action reporting |2
165|Product|Michael Seibt,Mary Levin,Jay Johnson,Daniel Hunter|Michael BRANNON| Business & Legal support Systems |2
166|Regulation|Mary Levin,Jay Johnson,Daniel Hunter,William Jowdy|Gary Piechowski|Securities Observation News Analysis and Regulation|2
167|Enforcement Investigation|Jay Johnson,Daniel Hunter,William Jowdy,Bart O'Neill|John jordan|COMPANY Enforcement action against LPL for violation of SEC reporting guidelines. Securities and Exchange Commission. High Yield debt issues.|2
168|Enforcement Attorney Roundtable|Daniel Hunter,William Jowdy,Bart O'Neill,Kesia Winters|HERB Grimm|Enforcement conducted an Enforcement Roundtable on variable annuities and senior investors and vulnerable adults.|2
169|Enforcment Attorneys|William Jowdy,Bart O'Neill,Kesia Winters,Richard Baer|GEORGE Turner|list of enforcement attorneys that worked on cyber issues|2
170|Enforcement Investigators|Bart O'Neill,Kesia Winters,Richard Baer,Christopher Stoll|Brant Crichlow|enforcement investigation that worked on data breach and cyber issues|2
171|Legal Analysis|Kesia Winters,Richard Baer,Christopher Stoll,Robert Bacon|Linda Brillhart|general counsel office project on legal analysis of state senior issue reporting|2
172|Legal|Richard Baer,Christopher Stoll,Robert Bacon,Tony Pappas|George Day|conducted legal analysis involving dispute resolution|2
173|SEC Roundtable|Christopher Stoll,Robert Bacon,Tony Pappas,ROBERT Azanow|J. Janssen|SEC roundtable on commodities and futures and structured products|2
174|Investigation|Robert Bacon,Tony Pappas,ROBERT Azanow,Nathaniel Frejlach|James Steinhaus|enforcement investigation involving exchange traded funds ETFs and a small firm|2
175|Arbitration Case|Tony Pappas,ROBERT Azanow,Nathaniel Frejlach,Robert Hershman|Raymond Alvar|COMPANY employee work on arbitration matter|2
176|COMPANY Mediation Experts Roundtable|ROBERT Azanow,Nathaniel Frejlach,Robert Hershman,Michael Ehlinger|Joseph Daurio|roundtable of COMPANY experts on mediation and arbitration|2
177|Enforcement Investigation|Nathaniel Frejlach,Robert Hershman,Michael Ehlinger,Michael Grimes|Christopher Smith|enforcement investigation of large broker dealer involving market manipulation|2
178|Legal Project|Robert Hershman,Michael Ehlinger,Michael Grimes,Josh Arlia|Thomas Coker| revise legal policy framework for new COMPANY rules involving market manipulation|2
179|General Counsel|Michael Ehlinger,Michael Grimes,Josh Arlia,Joseph Bukowsky|Gerald Rodelli|maintain content on General counsel office portal|2
180|Contract mangement|Michael Grimes,Josh Arlia,Joseph Bukowsky,JOSEPH Archer|Joseph Love|Legal contract and spend management.|2
181|Mediation-Arbitration|Josh Arlia,Joseph Bukowsky,JOSEPH Archer,CARLOS Chapman|Debra Brinkman|Mediation and Arbitration Tracking and Retrieval Interactive Case System|2
182|Exam Planning|Joseph Bukowsky,JOSEPH Archer,CARLOS Chapman,Margaret Cherry|roroor DELFIN|EXPLORATORY PLATFORM FOR RISK ASSESSMENT BASED EXAM PLANNING|3
183|Trade Info|JOSEPH Archer,CARLOS Chapman,Margaret Cherry,Christopher Wujnovich|D.Flint Maslin|Trade authorization review|3
184|Email review|CARLOS Chapman,Margaret Cherry,Christopher Wujnovich,FREDDIE krikorian|Michelle Fairbanks|review processed epst files|3
185|Exam|Margaret Cherry,Christopher Wujnovich,FREDDIE krikorian,Sheila Hagler|Randy Harding|Bank of America exam|3
186|Exam|Christopher Wujnovich,FREDDIE krikorian,Sheila Hagler,Peter CESARONI|Howard Bdaiwi|Data sampling techniques|3
187|Scheduling|FREDDIE krikorian,Sheila Hagler,Peter CESARONI,Michael Scott|Jason Luzi|Project scheduling tool|3
188|Reviews|Sheila Hagler,Peter CESARONI,Michael Scott,REBECCA McGuire|Constance Daily|Chronology Tracking System for customer account suitability determination|3
189|Reviews|Peter CESARONI,Michael Scott,REBECCA McGuire,Keven Robinson|Jeffrey Dixon|Risk-review mapping project|3
190|Firm Information|Michael Scott,REBECCA McGuire,Keven Robinson,Brian Tenenblatt|Linda Reque|A One-Stop resource for Regulatory Data. Profiles combines information from more than 20 COMPANY systems-into a single, easy-to-use resource that covers all active and inactive broker-dealers|3
191|Exam|REBECCA McGuire,Keven Robinson,Brian Tenenblatt,Kerryn Risley|Sean Catmull|Exam planning processes and policy|3
192|Regulation|Keven Robinson,Brian Tenenblatt,Kerryn Risley,Gary Ahrens|Franklin WISEMAN|post interpretative guidance for open issues|3
193|Reviews|Brian Tenenblatt,Kerryn Risley,Gary Ahrens,Nicole Bola|Brian Wilkinson|A tool, provided by Wolters Kluwer, which contains both: a feed of regulatory change information, impact analysis and assessment, as well as a place to centrally maintain the RSA rules matrices. The feed of change information allows staff to have cases auto-created to help them assess impact of when regulators (SEC, COMPANY, Exchanges, etc.) make rule or policy changes, which replaced an entirely manual process.  |3
